Drug,Source,AHFS Pharmacologic Classification
Acitretin,7,88:04 Vitamin A
Aldesleukin,"4,5",10:00 Antineoplastic agents
Alefacept,6,"84:92 Skin and mucous membrane agents, miscellaneous"
Alitretinoin,"3,4,5","84:92 Skin and mucous membrane agents, miscellaneous"
Altretamine,"1,2,3,4,5",10:00 Antineoplastic agents
Ambrisentan,7,"24:12.92 Vasodilating agents, miscellaneous"
Amsacrine,"3,5",Not in AHFS (antineoplastic agent)
Anastrozole,"1,5",10:00 Antineoplastic agents
Arsenic trioxide,"1,2,3,4,5",10:00 Antineoplastic agents
Asparaginase,"1,2,3,4,5",10:00 Antineoplastic agents
Azacitidine,"3,5",10:00 Antineoplastic agents
Azathioprine,"2,3,5",92:44 Immunosuppressant agents
Bacillus Calmette-Guerin (BCG)?,"1,2,4",80:12 Vaccines
Bendamustine HCl,7,10:00 Antineoplastic agents
Bexarotene,"2,3,4,5",10:00 Antineoplastic agents
Bicalutamide,"1,5",10:00 Antineoplastic agents
Bleomycin,"1,2,3,4,5",10:00 Antineoplastic agents
Bortezomib,6,10:00 Antineoplastic agents
Bosentan,6,"24:12.92 Vasodilating agents, miscellaneous"
Busulfan,"1,2,3,4,5",10:00 Antineoplastic agents
Cabergoline,7,28:36.20.04 Ergot-derivative dopamine receptor agonists
Capecitabine,"1,2,3,4,5",10:00 Antineoplastic agents
Carbamazepine,7,"28:12.92 Anticonvulsants, miscellaneous"
Carboplatin,"1,2,3,4,5",10:00 Antineoplastic agents
Carmustine,"1,2,3,4,5",10:00 Antineoplastic agents
Cetrorelix acetate,5,92:40 Gonadotropin-releasing hormone antagonists
Chlorambucil,"1,2,3,4,5",10:00 Antineoplastic agents
Chloramphenicol,"1,5",8:12.08 Chloramphenicols
Choriogonadotropin alfa,5,68:18 Gonadotropins
Cidofovir,"3,5",8:18.32 Nucleosides and nucleotides
Cisplatin,"1,2,3,4,5",10:00 Antineoplastic agents
Cladribine,"1,2,3,4,5",10:00 Antineoplastic agents
Clofarabine,6,10:00 Antineoplastic agents
Clonazepam,7,28:12.08 Benzodiazepines
Colchicine,5,92:16 Antigout agents
Cyclophosphamide,"1,2,3,4,5",10:00 Antineoplastic agents
Cyclosporin,1,92:44 Immunosuppressive agents
Cytarabine,"1,2,3,4,5",10:00 Antineoplastic agents
Dacarbazine,"1,2,3,4,5",10:00 Antineoplastic agents
Dactinomycin,"1,2,3,4,5",10:00 Antineoplastic agents
Dasatinib,6,10:00 Antineoplastic agents
Daunorubicin HCl,"1,2,3,4,5",10:00 Antineoplastic agents
Decitibine,6,10:00 Antineoplastic agents
Degarelix,7,10:00 Antineoplastic agents
Denileukin,"3,4,5",10:00 Antineoplastic agents
Diethylstilbestrol,5,Not in AHFS (nonsteroidal synthetic estrogen)
Dinoprostone,5,76:00 Oxytocics
Docetaxel,"1,2,3,4,5",10:00 Antineoplastic agents
Doxorubicin,"1,2,3,4,5",10:00 Antineoplastic agents
Dronedarone HCl,7,24:04.04 Antiarrythmics
Dutasteride,5,92:08 5-alpha reductase inhibitors
Entecavir,6,8:18.32 Nucleosides and nucleotides
Epirubicin,"1,2,3,4,5",10:00 Antineoplastic agents
Ergonovine/methylergonovine,5,76:00 Oxytocics
Estradiol,"1,5",68:16.04 Estrogens
Estramustine phosphate,"1,2,3,4,5",10:00 Antineoplastic agents
Estrogen-progestin combinations,5,68:12 Contraceptives
"Estrogens, conjugated",5,68:16.04 Estrogens
"Estrogens, esterified",5,68:16.04 Estrogens
Estrone,5,68:16.04 Estrogens
Estropipate,5,68:16.04 Estrogens
Etoposide,"1,2,3,4,5",10:00 Antineoplastic agents
Everolimus,7,10:00 Antineoplastic agents
Exemestane,"1,5",10:00 Antineoplastic agents
Finasteride,"1,3,5",92:08 5-alpha reductase inhibitors
Floxuridine,"1,2,3,4,5",10:00 Antineoplastic agents
Fludarabine,"1,2,3,4,5",10:00 Antineoplastic agents
Fluorouracil,"1,2,3,4,5",10:00 Antineoplastic agents
Fluoxymesterone,5,68:08 Androgens
Flutamide,"1,2,5",10:00 Antineoplastic agents
Fulvestrant,5,10:00 Antineoplastic agents
Ganciclovir,"1,2,3,4,5",8:18.32 Nucleosides and nucleotides
Ganirelix acetate,5,92:40 Gonadotropin-releasing hormone antagonists
Gemcitabine,"1,2,3,4,5",10:00 Antineoplastic agents
Gemtuzumab ozogamicin,"1,3,4,5",10:00 Antineoplastic agents
"Gonadotropin, chorionic",5,68:18 Gonadotropins
Goserelin,"1,2,5",10:00 Antineoplastic agents
Hydroxyurea,"1,2,3,4,5",10:00 Antineoplastic agents
Idarubicin,"1,2,3,4,5",10:00 Antineoplastic agents
Ifosfamide,"1,2,3,4,5",10:00 Antineoplastic agents
Imatinib mesylate,"1,3,4,5",10:00 Antineoplastic agents
Irinotecan HCl,"1,2,3,4,5",10:00 Antineoplastic agents
Ixabepilone,7,10:00 Antineoplastic agents
Leflunomide,"3,5",92:36 Disease-modifying antirheumatic agents
Lenalidomide,6,92:20 Biologic response modifiers
Letrozole,"1,5",10:00 Antineoplastic agents
Leuprolide acetate,"1,2,5",10:00 Antineoplastic agents
Lomustine,"1,2,3,4,5",10:00 Antineoplastic agents
Mechlorethamine,"1,2,3,4,5",10:00 Antineoplastic agents
Medroxyprogesterone acetate,6,68:32 Progestins
Megestrol,"1,5",10:00 Antineoplastic agents
Melphalan,"1,2,3,4,5",10:00 Antineoplastic agents
Menotropins,5,68:18 Gonadotropins
Mercaptopurine,"1,2,3,4,5",10:00 Antineoplastic agents
Methotrexate,"1,2,3,4,5",10:00 Antineoplastic agents
Methyltestosterone,5,68:08 Androgens
Mifepristone,5,76:00 Oxytocics
Mitomycin,"1,2,3,4,5",10:00 Antineoplastic agents
Mitotane,"1,4,5",10:00 Antineoplastic agents
Mitoxantrone HCl,"1,2,3,4,5",10:00 Antineoplastic agents
Mycophenolate mofetil,"1,3,5",92:44 Immunosuppressive agents
Mycophenolic acid,7,92:44 Immunosuppressive agents
Nafarelin,5,68:18 Gonadotropins
Nelarabine,6,10:00 Antineoplastic agents
Nilotinib,7,10:00 Antineoplastic agents
Nilutamide,"1,5",10:00 Antineoplastic agents
Oxaliplatin,"1,3,4,5",10:00 Antineoplastic agents
Oxcarbazepine,7,"28:12.92 Anticonvulsants, miscellaneous"
Oxytocin,5,76:00 Oxytocics
Paclitaxel,"1,2,3,4,5",10:00 Antineoplastic agents
Palifermin,6,84:16 Cell stimulants and proliferants
Paroxetine**,"6, 7",28:16.04.20 Selective serotonin uptake inhibitors
Pazopanib HCl,7,10:00 Antineoplastic agents
Pegaspargase,"1,2,3,4,5",10:00 Antineoplastic agents
Pemetrexed,6,10:00 Antineoplastic agents
Pentamidine isethionate,"1,2,3,5","8:30.92 Antiprotozoals, miscellaneous"
Pentetate calcium trisodium??,6,Not in AHFS
Pentostatin,"1,2,3,4,5",10:00 Antineoplastic agents
Phenoxybenzamine HCl,7,12:16.04.04 Non-selective alpha-adrenergic blocking agents
Pipobroman,"3,5",Not in AHFS (antineoplastic agent)
Plerixafor,7,20:16 Hematopoietic agents
Podofilox,5,84:92 Miscellaneous skin and mucous membrane agents (mitotic inhibitor)
Podophyllum resin,5,"84:92 Skin and mucous membrane agents, miscellaneous"
Pralatrexate,7,10:00 Antineoplastic agents
Procarbazine,"1,2,3,4,5",10:00 Antineoplastic agents
Progesterone,5,68:32 Progestins
Progestins,5,68:12 Contraceptives
Raloxifene,5,68:16.12 Estrogen agonists-antagonists
Rasagiline mesylate,6,28:36 Antiparkinsonian agents
Ribavirin,"1,2,5",8:18.32 Nucleosides and nucleotides
Risperidone,6,28:16.08.04 Atypical antipsychotics
Romidepsin,7,10:00 Antineoplastic agents
Sirolimus,6,92:44 Immunosuppressive agents
Sorafenib,6,10:00 Antineoplastic agents
Streptozocin,"1,2,3,4,5",10:00 Antineoplastic agents
Sunitinib malate,6,10:00 Antineoplastic agents
Tacrolimus,"1,5",92:44 Immunosuppressive agents
Tamoxifen,"1,2,5",10:00 Antineoplastic agents
Televancin,7,8:12.28.16 Glycopeptides
Temozolomide,"3,4,5",10:00 Antineoplastic agents
Temsirolimus,7,10:00 Antineoplastic agents
Teniposide,"1,2,3,4,5",10:00 Antineoplastic agents
Testolactone,5,10:00 Antineoplastic agents
Testosterone,5,68:08 Androgens
Tetracycline HCl,7,8:12.24 Tetracyclines
Thalidomide,"1,3,5",92:20 Biologic response modifiers
Thioguanine,"1,2,3,4,5",10:00 Antineoplastic agents
Thiotepa,"1,2,3,4,5",10:00 Antineoplastic agents
Topotecan,"1,2,3,4,5",10:00 Antineoplastic agents
Toremifene citrate,"1,5",10:00 Antineoplastic agents
Tretinoin,"1,2,3,5",84:16 Cell stimulants and proliferants
Trifluridine,"1,2,5",52:04.20 Antivirals
Triptorelin,5,10:00 Antineoplastic agents
Uracil mustard,"3,5",Not in AHFS (antineoplastic agent)
Valganciclovir,"1,3,5",8:18.32 Nucleosides and nucleotides
Valproic acid/ divalproex Na,7,"28:12.92 Anticonvulsants, miscellaneous"
Valrubicin,"1,2,3,5",10:00 Antineoplastic agents
Vidarabine,"1,2,5",Not in AHFS
Vigabatrin,7,"28:12.92 Anticonvulsants, miscellaneous"
Vinblastine sulfate,"1,2,3,4,5",10:00 Antineoplastic agents
Vincristine sulfate,"1,2,3,4,5",10:00 Antineoplastic agents
Vinorelbine tartrate,"1,2,3,4,5",10:00 Antineoplastic agents
Vorinostat,6,10:00 Antineoplastic agents
Zidovudine,"1,2,5",8:18:08 Antiretroviral agents
Ziprasidone HCl,7,28:16.08.04 Atypical antipsychotics
Zoledronic acid,7,92:24 Bone resorption inhibitors
Zonisamide,6,"28:12.92 Anticonvulsants, miscellaneous"
